gene_name	louvCluster	DEtest_unadjP.05_forCluster	Nsigmodels_forCluster
LINC00844	5HT.1	E4_noAncestry_noRin	4
MIR4458HG	5HT.1	E4_noAncestry_noRin	4
CHODL	5HT.1	E4_noAncestry_noRin	4
APOC1	5HT.1	E4_noAncestry_noRin	4
CAMK2A	5HT.1	E4_noAncestry_noRin	4
PRDX6	5HT.1	E4_noAncestry_noRin	4
CA2	5HT.1	E4_noAncestry_noRin	4
RAB3B	5HT.1	E4_noAncestry_noRin	4
EDEM3	5HT.1	E4_noAncestry_noRin	4
WDTC1	5HT.1	E4_noAncestry_noRin	4
TMEM132B	5HT.1	E4_noAncestry_noRin	4
GCSH	5HT.1	E4_noAncestry_noRin	4
LRRN3	5HT.1	E4_noAncestry_noRin	4
DUSP8	5HT.1	E4_noAncestry_noRin	4
KCNJ16	5HT.1	E4_noAncestry_noRin	4
S1PR1	5HT.1	E4_noAncestry_noRin	4
MTRNR2L12	5HT.1	E4_noAncestry_noRin	4
GJA1	5HT.1	E4_noAncestry_noRin	4
TRPV2	5HT.1	E4_noAncestry_noRin	4
HTR5A	5HT.1	E4_noAncestry_noRin	4
HBB	5HT.1	E4_noAncestry_noRin	4
DOC2B	5HT.1	E4_noAncestry_noRin	4
TP53BP2	5HT.1	E4_noAncestry_noRin	4
C2orf72	5HT.1	E4_noAncestry_noRin	4
H1F0	5HT.1	E4_noAncestry_noRin	4
RGS7	5HT.1	E4_noAncestry_noRin	4
SYNPO	5HT.1	E4_noAncestry_noRin	4
SLC7A11	5HT.1	E4_noAncestry_noRin	4
TMEM63B	5HT.1	E4_noAncestry_noRin	4
COL18A1	5HT.1	E4_noAncestry_noRin	4
RNF149	5HT.1	E4_noAncestry_noRin	4
ADCY1	5HT.1	E4_noAncestry_noRin	4
FGFR3	5HT.1	E4_noAncestry_noRin	4
ACAA2	5HT.1	E4_noAncestry_noRin	4
RCAN3	5HT.1	E4_noAncestry_noRin	4
ZSCAN16-AS1	5HT.1	E4_noAncestry_noRin	4
BRSK2	5HT.1	E4_noAncestry_noRin	4
HEBP1	5HT.1	E4_noAncestry_noRin	4
ATP1A2	5HT.1	E4_noAncestry_noRin	4
TRIL	5HT.1	E4_noAncestry_noRin	4
TPH2	5HT.1	E4_noAncestry_noRin	4
EMD	5HT.1	E4_noAncestry_noRin	4
ALDH1A1	5HT.1	E4_noAncestry_noRin	3
UPF3A	5HT.1	E4_noAncestry_noRin	4
METTL7A	5HT.1	E4_noAncestry_noRin	4
ASNSD1	5HT.1	E4_noAncestry_noRin	4
CAMKK1	5HT.1	E4_noAncestry_noRin	4
METTL5	5HT.1	E4_noAncestry_noRin	4
EFNA3	5HT.1	E4_noAncestry_noRin	4
ETNPPL	5HT.1	E4_noAncestry_noRin	4
MRPL46	5HT.1	E4_noAncestry_noRin	4
WASHC1	5HT.1	E4_noAncestry_noRin	4
CARM1	5HT.1	E4_noAncestry_noRin	4
NXPH4	5HT.1	E4_noAncestry_noRin	4
MTRNR2L3	5HT.1	E4_noAncestry_noRin	4
NUDCD2	5HT.1	E4_noAncestry_noRin	4
PIK3R3	5HT.1	E4_noAncestry_noRin	4
FAM216A	5HT.1	E4_noAncestry_noRin	4
LRRC3B	5HT.1	E4_noAncestry_noRin	4
CACHD1	5HT.1	E4_noAncestry_noRin	4
TADA3	5HT.1	E4_noAncestry_noRin	4
SLC1A3	5HT.1	E4_noAncestry_noRin	4
FUT9	5HT.1	E4_noAncestry_noRin	4
PDCD2	5HT.1	E4_noAncestry_noRin	4
NACC1	5HT.1	E4_noAncestry_noRin	4
PCYT2	5HT.1	E4_noAncestry_noRin	4
EDNRB	5HT.1	E4_noAncestry_noRin	4
AMIGO1	5HT.1	E4_noAncestry_noRin	4
TFRC	5HT.1	E4_noAncestry_noRin	4
PHGDH	5HT.1	E4_noAncestry_noRin	4
RASA1	5HT.1	E4_noAncestry_noRin	4
DANCR	5HT.1	E4_noAncestry_noRin	3
ATP2B1	5HT.1	E4_noAncestry_noRin	4
SRRM4	5HT.1	E4_noAncestry_noRin	4
ZBTB7A	5HT.1	E4_noAncestry_noRin	4
SLC7A5	5HT.1	E4_noAncestry_noRin	4
HBA1	5HT.1	E4_noAncestry_noRin	4
TMED5	5HT.1	E4_noAncestry_noRin	4
EFR3B	5HT.1	E4_noAncestry_noRin	4
MAPT	5HT.1	E4_noAncestry_noRin	4
STMN3	5HT.1	E4_noAncestry_noRin	4
SHARPIN	5HT.1	E4_noAncestry_noRin	4
PDIA6	5HT.1	E4_noAncestry_noRin	4
EFEMP1	5HT.1	E4_noAncestry_noRin	4
MYH10	5HT.1	E4_noAncestry_noRin	4
RNF7	5HT.1	E4_noAncestry_noRin	4
MRPS14	5HT.1	E4_noAncestry_noRin	4
MAN2C1	5HT.1	E4_noAncestry_noRin	4
MTA3	5HT.1	E4_noAncestry_noRin	4
MGST1	5HT.1	E4_noAncestry_noRin	4
SLC43A2	5HT.1	E4_noAncestry_noRin	4
OGFR	5HT.1	E4_noAncestry_noRin	4
PRRT2	5HT.1	E4_noAncestry_noRin	4
DDT	5HT.1	E4_noAncestry_noRin	4
SLC2A3	5HT.1	E4_noAncestry_noRin	4
PNMA6F	5HT.1	E4_noAncestry_noRin	4
BAZ1B	5HT.1	E4_noAncestry_noRin	4
NRGN	5HT.1	E4_noAncestry_noRin	4
GJB6	5HT.1	E4_noAncestry_noRin	4
ST8SIA3	5HT.1	E4_noAncestry_noRin	4
C2orf74	5HT.1	E4_noAncestry_noRin	4
CACNA2D2	5HT.1	E4_noAncestry_noRin	4
